rho R(km) M(SM) 
1000000.000000 9965.415419 0.320988 
1001000.000000 9964.143354 0.321080 
1002001.000000 9962.870687 0.321172 
1003003.001000 9961.597422 0.321263 
1004006.004001 9960.323563 0.321354 
1005010.010005 9959.049114 0.321446 
1006015.020015 9957.774079 0.321537 
1007021.035035 9956.498460 0.321628 
1008028.056070 9955.222262 0.321719 
1009036.084126 9953.945489 0.321809 
1010045.120210 9952.668145 0.321900 
1011055.165330 9951.390232 0.321990 
1012066.220496 9950.111755 0.322080 
1013078.286716 9948.832717 0.322170 
1014091.365003 9947.553122 0.322260 
1015105.456368 9946.272973 0.322350 
1016120.561824 9944.992275 0.322440 
1017136.682386 9943.711030 0.322529 
1018153.819069 9942.429243 0.322618 
1019171.972888 9941.146917 0.322708 
1020191.144861 9939.864054 0.322797 
1021211.336005 9938.580660 0.322886 
1022232.547341 9937.296737 0.322974 
1023254.779889 9936.014147 0.323063 
1024278.034669 9934.756291 0.323153 
1025302.312703 9933.508438 0.323243 
1026327.615016 9932.260062 0.323333 
1027353.942631 9931.026659 0.323424 
1028381.296574 9929.801260 0.323514 
1029409.677870 9928.575320 0.323605 
1030439.087548 9927.348844 0.323695 
1031469.526636 9926.121833 0.323785 
1032500.996162 9924.894290 0.323875 
1033533.497158 9923.666220 0.323965 
1034567.030656 9922.437624 0.324054 
1035601.597686 9921.208507 0.324144 
1036637.199284 9919.978871 0.324233 
1037673.836483 9918.748720 0.324322 
1038711.510320 9917.518057 0.324411 
1039750.221830 9916.286884 0.324500 
1040789.972052 9914.458194 0.324632 
1041830.762024 9912.433972 0.324778 
1042872.592786 9910.402446 0.324923 
1043915.465379 9908.363792 0.325069 
1044959.380844 9906.317963 0.325214 
1046004.340225 9904.265536 0.325359 
1047050.344565 9902.206353 0.325504 
1048097.394910 9900.140321 0.325649 
1049145.492305 9898.067468 0.325793 
1050194.637797 9895.988203 0.325938 
1051244.832435 9893.903331 0.326083 
1052296.077267 9891.811494 0.326227 
1053348.373344 9889.713478 0.326372 
1054401.721718 9887.610150 0.326516 
1055456.123440 9885.499725 0.326660 
1056511.579563 9883.384173 0.326804 
1057568.091143 9881.263187 0.326948 
1058625.659234 9879.134501 0.327092 
1059684.284893 9877.003997 0.327236 
1060743.969178 9874.863447 0.327380 
1061804.713147 9872.725284 0.327524 
1062866.517860 9870.609492 0.327668 
1063929.384378 9868.484215 0.327812 
1064993.313762 9866.355685 0.327956 
1066058.307076 9864.225370 0.328099 
